Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Test Cases/Sections/Deviation,Firefox 63.0,,2018-11-22 09:41:51,2018-11-22 09:41:55,4.538s,PASSED
com.powerbi.components.ChartSelect.showSetting,Firefox 63.0,,2018-11-22 09:41:51,2018-11-22 09:41:52,0.637s,PASSED
delay,Firefox 63.0,,2018-11-22 09:41:52,2018-11-22 09:41:54,2.002s,PASSED
com.powerbi.components.ChartSelect.enableToggle,Firefox 63.0,,2018-11-22 09:41:54,2018-11-22 09:41:54,0.520s,PASSED
click,Firefox 63.0,,2018-11-22 09:41:54,2018-11-22 09:41:55,0.673s,PASSED
com.powerbi.components.ChartSelect.hideSetting,Firefox 63.0,,2018-11-22 09:41:55,2018-11-22 09:41:55,0.422s,PASSED
,,,,,,
Test Cases/Sections/Title_Toggle,Firefox 63.0,,2018-11-22 09:41:55,2018-11-22 09:42:06,10.809s,PASSED
com.powerbi.components.ChartSelect.EnableTitleToggle,Firefox 63.0,,2018-11-22 09:41:56,2018-11-22 09:41:57,0.784s,PASSED
delay,Firefox 63.0,,2018-11-22 09:41:57,2018-11-22 09:41:59,2.000s,PASSED
com.powerbi.components.ChartSelect.setValue,Firefox 63.0,,2018-11-22 09:41:59,2018-11-22 09:41:59,0.583s,PASSED
com.powerbi.components.ChartSelect.setColor,Firefox 63.0,,2018-11-22 09:41:59,2018-11-22 09:42:01,1.971s,PASSED
com.powerbi.components.ChartSelect.setColor,Firefox 63.0,,2018-11-22 09:42:01,2018-11-22 09:42:03,1.599s,PASSED
com.powerbi.components.ChartSelect.setAlignment,Firefox 63.0,,2018-11-22 09:42:03,2018-11-22 09:42:04,1.053s,PASSED
com.powerbi.components.ChartSelect.setValue,Firefox 63.0,,2018-11-22 09:42:04,2018-11-22 09:42:04,0.415s,PASSED
com.powerbi.components.ChartSelect.selectValue,Firefox 63.0,,2018-11-22 09:42:04,2018-11-22 09:42:05,1.083s,PASSED
click,Firefox 63.0,,2018-11-22 09:42:05,2018-11-22 09:42:06,0.381s,PASSED
com.powerbi.components.ChartSelect.hideTitleToggle,Firefox 63.0,,2018-11-22 09:42:06,2018-11-22 09:42:06,0.549s,PASSED
,,,,,,
Test Cases/Sections/Background,Firefox 63.0,,2018-11-22 09:42:06,2018-11-22 09:42:12,5.523s,PASSED
com.powerbi.components.ChartSelect.EnableSetting,Firefox 63.0,,2018-11-22 09:42:06,2018-11-22 09:42:07,0.412s,PASSED
delay,Firefox 63.0,,2018-11-22 09:42:07,2018-11-22 09:42:09,2.002s,PASSED
com.powerbi.components.ChartSelect.setColor,Firefox 63.0,,2018-11-22 09:42:09,2018-11-22 09:42:10,0.816s,PASSED
setText,Firefox 63.0,,2018-11-22 09:42:10,2018-11-22 09:42:10,0.317s,PASSED
com.powerbi.components.ChartSelect.changeSlider,Firefox 63.0,,2018-11-22 09:42:10,2018-11-22 09:42:10,0.144s,PASSED
click,Firefox 63.0,,2018-11-22 09:42:10,2018-11-22 09:42:11,0.929s,PASSED
com.powerbi.components.ChartSelect.hideSetting,Firefox 63.0,,2018-11-22 09:42:11,2018-11-22 09:42:12,0.684s,PASSED
,,,,,,
Test Cases/Sections/Lock aspect,Firefox 63.0,,2018-11-22 09:42:12,2018-11-22 09:42:16,4.663s,PASSED
com.powerbi.components.ChartSelect.EnableSetting,Firefox 63.0,,2018-11-22 09:42:12,2018-11-22 09:42:13,1.349s,PASSED
delay,Firefox 63.0,,2018-11-22 09:42:13,2018-11-22 09:42:15,2.002s,PASSED
click,Firefox 63.0,,2018-11-22 09:42:15,2018-11-22 09:42:16,0.611s,PASSED
com.powerbi.components.ChartSelect.hideSetting,Firefox 63.0,,2018-11-22 09:42:16,2018-11-22 09:42:16,0.343s,PASSED
,,,,,,
Test Cases/Sections/General,Firefox 63.0,,2018-11-22 09:42:16,2018-11-22 09:42:25,8.908s,PASSED
com.powerbi.components.ChartSelect.showSetting,Firefox 63.0,,2018-11-22 09:42:17,2018-11-22 09:42:17,0.638s,PASSED
delay,Firefox 63.0,,2018-11-22 09:42:17,2018-11-22 09:42:19,2.001s,PASSED
com.powerbi.components.ChartSelect.setValue,Firefox 63.0,,2018-11-22 09:42:19,2018-11-22 09:42:20,0.350s,PASSED
com.powerbi.components.ChartSelect.setValue,Firefox 63.0,,2018-11-22 09:42:20,2018-11-22 09:42:20,0.222s,PASSED
com.powerbi.components.ChartSelect.setValue,Firefox 63.0,,2018-11-22 09:42:20,2018-11-22 09:42:21,0.614s,PASSED
